热词,数量
寸,624
太小,1266
没法,911
上东,35
东西,24986
挡,172
视线,66
还行,11841
物流,23370
乌龟,13
配件,1270
店家,2166
家人,1329
好好,41965
一般般,2383
般般,2422
先,1997
试试,1087
看起,2423
质量,35284
不错,117930
使用方便,896
高清,1032
耐磨,222
没用,4318
手感,17414
舒服,5562
正品,5483
一点,8465
味道,437
满意,29110
谢谢,2597
卖家,4324
好手,1488
手机,96115
机壳,7375
很漂亮,5070
漂亮,11236
质地,102
通透,222
柔软,405
套,1429
贴合,4511
喜欢,32930
透明,1463
亮光,17
价格,15173
便宜,7136
挺,32971
好感,226
感觉,23853
货,4028
差,8821
钢化,8628
膜,22884
包装,12052
好看,11319
贴心,915
棉布,4
购物,8549
不怎么样,698
太差,1783
音质,12668
下次,6359
买,58435
实物,1172
发错,324
声音,12789
很大,5678
老人,11094
合适,8363
123456789,16
慢,3148
不好,8563
清晰,12326
算,910
对了,401
误差,93
很厚,501
厚实,502
晚点,40
试看,205
操控,135
便捷,320
快递,13807
真,2931
垃圾,4451
京东,31960
棒,4580
贴上去,1109
服帖,257
忒,52
字,2798
产品,9185
星,1491
亲,534
民,163
优质,237
祝,626
越做越,551
越好,1261
生意,554
生意兴隆,413
意兴,417
兴隆,419
几款,149
便携,804
投影,559
飞利浦,1116
PPX4935,3
分辨,1133
分辨率,1098
辨率,1099
描述,2429
连接,2297
接电,475
电脑,1118
不用,3483
担心,1535
字体,2397
清,432
用电,371
办公,437
娱乐,83
影音,58
不在,417
不在话下,34
屏,12146
顺畅,754
尝试,211
外设,50
关键,1096
预装,193
软件,2495
干净,637
强烈推荐,297
推荐,6323
购买,15091
买好,375
好评,19701
不行,2921
评,5899
态度,7156
这家,920
试一试,53
一款,2727
扔,486
烂,740
西商,7
商品,6130
商品质量,742
品质,3911
再也,1019
相符,463
型号,773
匹配,908
贴,12478
上手,1929
分清,40
东东,787
看着,3834
老板,1123
送,11807
小礼,483
礼品,558
真的,14368
灰,891
超级,5339
单手,570
单手操作,282
操作,4874
触,1115
不灵,892
小米,5277
电视,1562
英寸,252
适配,447
建议,2356
选购,154
不应,108
占,806
hellip,15587
bull,188
原厂,740
公司,1558
办公室,208
公室,209
避错,1
对付,40
还好,5964
软,1216
壳,3947
有用,1426
透明度,226
明度,231
划痕,733
看上,996
物有所,1714
物有所值,1703
值,7437